dish_id,calories,weight,protein,fat,carbs,img_path
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,imagery/realsense_overhead/dish_1561662216/rgb.png
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,imagery/realsense_overhead/dish_1561662054/rgb.png
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,imagery/realsense_overhead/dish_1562008979/rgb.png
dish_1560455030,20.59,103.0,0.148,4.625,0.956,imagery/realsense_overhead/dish_1560455030/rgb.png
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,imagery/realsense_overhead/dish_1558372433/rgb.png
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,imagery/realsense_overhead/dish_1565640549/rgb.png
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,imagery/realsense_overhead/dish_1563207364/rgb.png
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,imagery/realsense_overhead/dish_1561575474/rgb.png
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,imagery/realsense_overhead/dish_1563216717/rgb.png
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,imagery/realsense_overhead/dish_1565972591/rgb.png
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,imagery/realsense_overhead/dish_1568649312/rgb.png
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497,imagery/realsense_overhead/dish_1562183096/rgb.png
dish_1559844951,274.335999,122.0,17.906,22.792,9.784,imagery/realsense_overhead/dish_1559844951/rgb.png
dish_1566417398,56.892494,46.0,5.357862,2.088042,0.792647,imagery/realsense_overhead/dish_1566417398/rgb.png
dish_1561739238,274.190002,257.0,9.785,37.556999,9.465,imagery/realsense_overhead/dish_1561739238/rgb.png
dish_1563468327,351.886047,483.0,9.768622,57.495316,12.099887,imagery/realsense_overhead/dish_1563468327/rgb.png
dish_1562862493,198.320007,134.0,14.74,2.144,13.400001,imagery/realsense_overhead/dish_1562862493/rgb.png
dish_1558549008,20.700001,115.0,0.23,4.485,1.035,imagery/realsense_overhead/dish_1558549008/rgb.png
dish_1562691032,419.681702,415.0,22.039829,39.058826,17.94734,imagery/realsense_overhead/dish_1562691032/rgb.png
dish_1563824250,17.200001,43.0,0.043,3.87,0.473,imagery/realsense_overhead/dish_1563824250/rgb.png
dish_1558549773,2.3,10.0,0.04,0.36,0.29,imagery/realsense_overhead/dish_1558549773/rgb.png
dish_1563822597,59.400002,176.0,2.170667,7.626667,4.106667,imagery/realsense_overhead/dish_1563822597/rgb.png
dish_1566920365,490.421692,871.0,5.324439,41.393566,60.675976,imagery/realsense_overhead/dish_1566920365/rgb.png
dish_1563984242,402.117035,753.0,3.30239,36.819611,49.407761,imagery/realsense_overhead/dish_1563984242/rgb.png
dish_1558459276,102.699997,79.0,0.237,22.120001,2.133,imagery/realsense_overhead/dish_1558459276/rgb.png
dish_1560974707,55.025124,60.0,2.003546,7.088692,2.992605,imagery/realsense_overhead/dish_1560974707/rgb.png
